frame,label,confidence,distance_m,direction,placeholder
286,fire_placeholder,0.05,15.22,front,True
286,fire_placeholder,0.05,7.78,front-right,True
286,fire_placeholder,0.05,8.86,front-left,True
286,fire_placeholder,0.05,25.93,front-left,True
286,fire_placeholder,0.05,17.95,front-right,True
287,fire_placeholder,0.05,23.33,front-left,True
287,fire_placeholder,0.05,11.67,front,True
287,fire_placeholder,0.05,11.48,front-left,True
287,fire_placeholder,0.05,9.21,front-right,True
287,fire_placeholder,0.05,15.22,front-left,True
287,fire_placeholder,0.05,8.86,front-left,True
287,fire_placeholder,0.05,25.93,front-left,True
287,fire_placeholder,0.05,17.95,front-right,True
288,fire_placeholder,0.05,12.28,front-left,True
288,fire_placeholder,0.05,19.44,front-right,True
288,fire_placeholder,0.05,4.58,front,True
288,fire_placeholder,0.05,17.07,front-left,True
288,fire_placeholder,0.05,8.05,front-right,True
288,fire_placeholder,0.05,9.46,front-left,True
288,fire_placeholder,0.05,25.93,front-left,True
288,fire_placeholder,0.05,18.92,front-right,True
288,fire_placeholder,0.05,17.07,front-right,True
289,backpack,0.465,5.47,front,False
289,fire_placeholder,0.05,11.86,front-left,True
289,fire_placeholder,0.05,7.45,front-left,True
289,fire_placeholder,0.05,15.22,front-left,True
289,fire_placeholder,0.05,8.75,front-right,True
289,fire_placeholder,0.05,9.21,front-left,True
289,fire_placeholder,0.05,18.92,front-right,True
290,backpack,0.366,5.34,front,False
290,fire_placeholder,0.05,15.22,front-left,True
290,fire_placeholder,0.05,6.67,front-left,True
290,fire_placeholder,0.05,15.56,front-left,True
290,fire_placeholder,0.05,7.29,front-right,True
290,fire_placeholder,0.05,9.33,front-left,True
290,fire_placeholder,0.05,26.92,front-left,True
290,fire_placeholder,0.05,18.92,front-right,True
291,fire_placeholder,0.05,7.69,front-left,True
291,fire_placeholder,0.05,18.92,front-left,True
291,fire_placeholder,0.05,9.21,front-right,True
291,fire_placeholder,0.05,9.59,front-left,True
291,fire_placeholder,0.05,20.0,front-right,True
292,backpack,0.506,5.62,front,False
292,fire_placeholder,0.05,11.11,front-left,True
292,fire_placeholder,0.05,7.14,front-left,True
292,fire_placeholder,0.05,17.07,front-left,True
292,fire_placeholder,0.05,8.75,front-right,True
292,fire_placeholder,0.05,8.86,front-left,True
292,fire_placeholder,0.05,28.0,front-left,True
292,fire_placeholder,0.05,18.92,front-right,True
293,fire_placeholder,0.05,7.29,front-left,True
293,fire_placeholder,0.05,8.64,front-right,True
293,fire_placeholder,0.05,17.5,front-left,True
293,fire_placeholder,0.05,13.73,front-left,True
293,fire_placeholder,0.05,21.21,front-right,True
294,fire_placeholder,0.05,8.24,front,True
294,fire_placeholder,0.05,12.73,front-right,True
294,fire_placeholder,0.05,22.58,front-right,True
294,fire_placeholder,0.05,13.21,front-left,True
294,fire_placeholder,0.05,21.88,front-right,True
295,fire_placeholder,0.05,9.33,front-left,True
295,fire_placeholder,0.05,12.96,front-right,True
296,fire_placeholder,0.05,12.73,front-right,True
297,fire_placeholder,0.05,9.33,front-left,True
297,fire_placeholder,0.05,14.89,front-right,True
298,fire_placeholder,0.05,9.33,front-left,True
298,fire_placeholder,0.05,14.89,front-right,True
299,fire_placeholder,0.05,5.3,front-left,True
299,fire_placeholder,0.05,19.44,front-right,True
300,fire_placeholder,0.05,3.78,front-right,True
300,fire_placeholder,0.05,17.07,front-right,True
301,person,0.704,3.17,front,False
302,person,0.715,3.18,front-right,False
302,person,0.43,3.15,front,False
303,person,0.715,3.18,front-right,False
303,person,0.43,3.15,front,False
304,person,0.598,3.22,front-right,False
304,person,0.469,3.17,front,False
304,person,0.428,3.16,front-right,False
304,fire_placeholder,0.05,14.0,front-right,True
304,fire_placeholder,0.05,6.6,front-right,True
307,person,0.479,3.19,front,False
328,person,0.577,3.2,front,False
329,person,0.546,3.21,front,False
334,person,0.351,3.21,front,False
344,fire_placeholder,0.05,41.18,front-right,True
344,fire_placeholder,0.05,18.42,front-left,True
344,fire_placeholder,0.05,17.07,front-left,True
344,fire_placeholder,0.05,11.67,front,True
345,fire_placeholder,0.05,18.42,front-right,True
345,fire_placeholder,0.05,22.58,front-left,True
345,fire_placeholder,0.05,22.58,front-left,True
345,fire_placeholder,0.05,33.33,front-left,True
345,fire_placeholder,0.05,21.88,front-right,True
346,fire_placeholder,0.05,18.42,front-right,True
346,fire_placeholder,0.05,22.58,front-left,True
346,fire_placeholder,0.05,22.58,front-left,True
346,fire_placeholder,0.05,33.33,front-left,True
346,fire_placeholder,0.05,21.88,front-right,True
347,fire_placeholder,0.05,18.42,front-right,True
347,fire_placeholder,0.05,12.96,front-left,True
348,fire_placeholder,0.05,50.0,front-right,True
348,fire_placeholder,0.05,35.0,front-right,True
349,fire_placeholder,0.05,12.07,front-left,True
349,fire_placeholder,0.075,6.86,front-right,True
350,fire_placeholder,0.05,12.07,front-left,True
350,fire_placeholder,0.075,6.86,front-right,True
351,fire_placeholder,0.095,4.79,front-right,True
351,fire_placeholder,0.05,9.59,front-left,True
352,fire_placeholder,0.05,15.56,front-left,True
352,fire_placeholder,0.099,4.55,front-right,True
352,fire_placeholder,0.05,10.0,front-left,True
352,fire_placeholder,0.05,15.56,front-right,True
353,fire_placeholder,0.05,15.56,front-left,True
353,fire_placeholder,0.099,4.55,front-right,True
353,fire_placeholder,0.05,10.0,front-left,True
353,fire_placeholder,0.05,15.56,front-right,True
354,person,0.398,9.82,front-right,False
354,fire_placeholder,0.05,14.58,front-right,True
354,fire_placeholder,0.05,20.0,front-left,True
354,fire_placeholder,0.053,4.73,front-right,True
354,fire_placeholder,0.05,16.28,front-left,True
